F15B9	Z78013.2
F54C4	FO080712.1
AL033124.1	VH15N14R
T27D1	Z48245.1
F35G12	Z46242.3
C03E10	Z81458.1
FO081420.1	T24C12
W07E11	Z49868.1
C55C3	FO080964.1
FO081180.1	R105
FO081371.1	Y55H10B
C06E8	FO080390.2
F16B3	FO081158.1
FO081769.2	Y37E3
F30A10	Z81072.1
Z82093.2	ZK39
C48C5	FO080641.2
T21C9	Z73098.2
T19H5	Z47745.2
T16G1	Z81592.1
D1069	FO080836.1
AL023852.1	Y6D6A
BE0003N10	FO080241.1
F27E11	FO080271.1
FO080648.1	T18H9
F49F1	FO080785.1
C04F2	FO080339.1
T26H10	Z74044.1
F47B8	Z77662.1
C23H5	FO080634.2
AL110479.3	Y105C5B
AL032664.1	Y91F4A
FO081526.1	R10F2
T04F8	Z66565.2
FO081265.1	R03H10
FO080397.1	Y43B11AL
H36L18	Z95309.2
FO081021.2	Y108G3AR
F44E7	FO080929.1
AL032675.1	VT23B5
B0284	Z30973.1
F18G5	FO080202.1
FO080661.1	W10D9
FO080606.1	T27A10
T14B1	Z46829.2
Z73898.1	ZK822
FO081500.2	T07E3
F31F6	Z69884.1
F14H8	Z81061.1
FO081713.1	T06A4
C05C8	FO080353.2
C04F5	FO080342.2
FO081273.1	K08B12
W09G3	Z82080.1
Z82084.1	ZK1053
F54F2	FO081385.1
FO081790.1	Y39A3CM
VD1046R	Z84713.1
F22B7	FO080222.2
AL032632.2	Y11D7A
FO081606.2	T11F1
FO081354.1	M03A8
T10G3	Z81118.1
FO080894.1	K02A6
FO081648.2	R57
F56A12	Z81551.1
FO081797.1	Y46E12BM
T28D6	Z81134.1
FO080811.1	Y38F2AL
3R5	AL032671.1
FO080615.1	Y42H9AL
C05A2	Z73968.2
FO081772.1	Y50D7A
T02G6	Z81583.1
K10D6	Z74040.1
FO081528.1	Y38B5A
W02A11	Z82062.1
Z78019.1	ZK863
E02H9	FO081030.1
FO080237.1	Y39D8A
F42G9	FO080196.2
F38E9	FO081327.2
C10H11	FO080502.1
FO081580.2	Y47G6A
C24B5	FO080128.1
F41G3	FO081361.2
C09B8	FO080450.1
F11A6	Z81498.1
T13F2	Z81122.1
C01G10	Z81030.1
FO081495.2	T09B4
C30F8	FO080727.1
C47E8	Z75530.1
T22G5	Z81127.2
F52B10	FO080192.2
T18D3	Z68119.2
AL008986.2	H37N21
Y52D3	Z99276.1
FO081678.2	Y39H10A
F56G4	Z81552.1
AL022274.1	H24D24
AL032618.1	Y42A5A
F36A2	Z81077.2
T12G3	Z68752.1
B0432	FO080203.1
Z79759.1	ZK858
F42A10	FO080631.1
F39C12	FO081331.1
R01H10	Z31590.1
FO081689.1	Y80D4G
B0403	FO080188.2
Z29121.2	ZK757
F57A8	Z70781.2
F49E10	FO081427.2
F44A6	Z50858.1
M28	Z49911.1
F53B3	FO080193.1
2RSSE	FO080086.1
FO080253.2	T14G12
CU457744.1	T06A10
C50D2	FO080633.1
F25E2	FO081218.2
AL132876.5	Y105E8A
C15C7	FO080550.1
K12F2	Z78199.1
F27E5	Z48582.1
FO080841.1	K08A2
FO081679.2	R106
C30F12	FO080730.1
F07B7	FO081059.1
F55C12	FO081475.2
FO080259.2	Y52E8A
FO081084.1	W02D3
Z83245.5	ZK131
AL031633.1	Y39A1A
FO081646.1	R08C7
FO080153.1	K09F6
F10G11	Z35662.1
FO081457.1	Y48G1C
AL110495.2	Y60A9A
FO081470.2	T03G6
AL023853.1	Y71A12C
F53G12	FO081455.1
Z73899.1	ZK829
C12D12	FO080514.2
E01B7	Z83222.2
AL117195.2	Y57A10A
R07E5	Z32683.1
F53H2	Z82270.1
F37C4	FO081250.1
FO080541.1	T26C11
K07C5	Z71181.2
F07A11	Z66511.2
B0353	FO080182.1
AL008867.1	C46E1
K02B9	Z69663.2
Z70757.3	ZK287
C34E10	FO080774.1
F33E2	Z84574.1
C46F2	FO080603.2
F25B5	FO081045.2
T01E8	Z48809.1
FO080332.1	M02E1
FO080095.1	Y108F1
F36G3	Z47069.1
F45E10	Z47810.1
F53F10	FO080750.1
AL022716.1	C24F3
F56D1	FO081078.1
T02E9	Z93387.1
F08B12	Z68104.1
C15C8	Z75527.1
FO081766.1	Y59E9AL
C16H3	FO080574.1
C52B9	FO080644.1
FO080414.1	T08A9
AL031637.1	Y47H9B
FO080803.1	ZK54
F08C6	FO080866.2
F59A1	Z81557.1
FO081813.2	Y55F3AM
T26H5	Z82056.2
C24E9	FO080653.1
F56H11	Z68749.1
C04C11	Z72501.1
W02H3	Z68013.1
F52G3	FO080725.1
FO080857.2	K12D9
F09F7	FO081001.2
C41G6	Z81047.2
FO081604.1	T04B8
F56A3	FO080752.1
T07D4	Z50071.2
FO081721.1	Y73B3A
C05B10	FO080350.1
R10E4	Z50874.2
F40E3	FO081277.1
F31A3	FO081262.1
Z82094.1	ZK525
FO080665.1	H08J11
FO081614.1	Y54E10A
F55H2	Z27080.1
FO080755.1	Y59C2A
F38C2	Z82267.1
T15H9	Z47356.2
FO081791.1	ZK6
FO081504.1	T13A10
FO080842.1	R13A1
C33G3	Z78540.1
C01A2	Z81029.1
R03C1	Z82279.2
F17E9	FO081018.1
F53B2	Z73908.2
FO080375.1	H08G01
FO081656.1	M4
R10E12	Z29561.3
C01B9	Z93373.1
C12D8	Z73969.2
R90	Z75548.1
FO080671.2	R03H4
M01F1	Z46381.1
T09F3	Z49070.1
F09B9	Z49887.1
AL021475.1	Y32F6B
F20E11	Z81508.1
F09E8	Z73896.1
C33A12	Z68493.1
W08D2	Z70271.1
Z68753.1	ZC518
FO081601.1	Y14H12A
F58H7	FO080860.1
K01G12	Z82275.1
B0213	FO080121.1
Z19157.2	ZC84
R11H6	Z93386.1
C52E4	Z78012.1
FO081584.1	K04C2
C13A2	FO080354.1
C05E4	FO080368.1
FO081557.1	Y71H2B
C24G7	FO080459.1
F55A11	Z72511.2
F32A5	FO080735.1
T08G5	Z81589.1
AL110487.2	Y39E4B
T14G8	Z67884.1
C04F1	FO080336.1
FO081365.1	K09C6
AL033512.1	Y49A3A
C03C10	Z35637.2
FO081176.1	K02D7
F29F11	Z73974.1
H05L14	Z99772.1
T23F11	Z46343.1
FO081520.1	H04J21
FO081483.1	Y65B4BR
F21C10	FO080129.1
F45G2	Z93382.1
FO081217.2	T04C9
T04C10	Z69885.1
R10D12	Z81109.2
BX284604.4	NC_003282.8
M106	Z46935.3
T05A6	Z50796.3
FO080113.1	H36N01
K01G5	Z92803.1
F56B3	FO081484.1
F30H5	FO081108.1
AH6	Z48009.2
T05F1	Z81586.3
FO080266.1	Y73B6BR
C33F10	FO080763.2
FO080830.2	Y75B7B
FO081187.2	W01H2
B0393	Z37983.4
R13G10	Z35602.1
FO081069.1	W01H5
FO081747.1	T25F10
FO081356.1	Y5H2A
FO081540.1	Y53G8AL
F58B6	FO081502.1
F54C8	Z22178.3
AL032665.1	Y76A2A
D1073	FO080898.1
W06G6	Z83129.1
B0286	FO080154.2
FO081213.1	Y7G10A
AL110478.2	Y26D4A
C25A8	FO080398.1
FO080287.1	R09A1
C05D9	FO080359.2
FO081376.1	Y42H9AR
C02C2	FO080276.2
F37H8	Z81534.3
FO080831.1	Y50D4A
AL132898.3	Y59A8B
FO080436.2	ZC204
FO080552.1	K10B3
T22H2	Z81595.1
F02E11	FO080591.2
FO081391.1	ZK994
T23F1	Z81129.1
T19B10	Z74043.1
T09F5	Z83239.1
F29C4	FO080227.1
F57F10	FO080716.1
R53	Z66515.2
F36H1	Z68760.4
FO081414.2	T24D8
F53H4	Z81089.1
F53A9	FO081048.1
F41G4	FO081362.2
F02C12	Z54269.2
F55C7	FO080460.2
T05H10	Z47812.1
AL032653.1	Y54E5B
AC8	FO080094.1
F45D3	Z78063.1
T06E8	Z73975.1
C07G1	FO080125.1
F26F12	FO080294.1
F54E7	FO080172.2
F31F7	FO081271.1
C24A8	FO080642.1
FO080858.1	H05B21
FO080767.2	T07H8
AL022473.1	H27C11
FO081055.1	ZK1055
FO081624.1	K10G6
C15C6	Z81034.1
VM02G9R	Z99268.2
C09F9	Z81465.1
H08M01	Z93384.1
T14C1	Z70687.2
FO081742.1	T24H5
C25A11	FO080240.1
FO080158.1	ZC53
C46G7	FO080848.1
H25K10	Z92796.1
C34B2	FO080220.1
R11A5	Z83122.2
FO081496.1	T27A3
FO081622.1	Y55B1BL
FO081793.1	Y43B11AM
D2063	FO081011.2
FO081450.1	Y50F7A
F41D9	FO081091.1
FO080654.1	Y69A2AL
F38E1	FO080433.1
W04E12	Z82070.2
F57C12	FO081141.2
FO081076.2	T14F9
AL110498.2	Y64G10A
FO080738.1	H27D07
F47B3	FO081253.1
F28C1	Z75539.1
F22B3	Z68336.1
FO080893.2	K09F5
FO081644.1	M01H9
C16C2	Z81036.1
F53C3	FO080905.1
AL031265.1	VK04G11
